qm;price
0,1;299,19
0,2;163,67
0,3;125,10
0,4;111,55
0,5;104,77
0,6;104,56
0,7;106,95
0,8;110,50
0,9;116,24
1;122,64
1,1;116,14
1,2;111,03
1,3;106,23
1,4;102,48
1,5;99,30
1,6;96,43
1,7;94,24
1,8;91,74
1,9;90,49
2;88,93
2,1;87,67
2,2;86,47
2,3;85,38
2,4;84,44
2,5;83,61
2,6;82,88
2,7;81,94
2,8;81,52
2,9;80,89
3;80,38
3,1;79,75
3,2;79,23
3,3;78,91
3,4;78,50
3,5;77,98
3,6;77,46
3,7;76,93
3,8;76,42
3,9;75,89
4;75,37
4,1;74,85
4,2;75,68
4,3;75,37
4,4;75,11
4,5;74,85
4,6;74,59
4,7;74,33
4,8;74,07
4,9;73,81
5;73,54
5,1;73,29
5,2;73,03
5,3;72,76
5,4;72,50
5,5;72,25
5,6;71,98
5,7;71,72
5,8;71,46
5,9;71,20
6;70,94
6,1;70,68
6,2;70,42
6,3;70,16
6,4;69,90
6,5;69,64
6,6;69,37
6,7;69,12
6,8;68,86
6,9;68,59
7;68,33
7,1;68,18
7,2;68,02
7,3;67,87
7,4;67,71
7,5;67,55
7,6;67,39
7,7;67,24
7,8;67,09
7,9;66,93
8;66,77
8,1;66,61
8,2;66,46
8,3;66,30
8,4;66,15
8,5;65,99
8,6;65,83
8,7;65,68
8,8;65,52
8,9;65,36
9;65,20
9,1;65,05
9,2;64,90
9,3;64,74
9,4;64,58
9,5;64,42
9,6;64,27
9,7;64,12
9,8;63,96
9,9;63,80
10;63,64
10,1;63,49
10,2;63,33
10,3;63,17
10,4;63,02
10,5;62,86
10,6;62,71
10,7;62,55
10,8;62,39
10,9;62,23
11;62,08
11,1;61,93
11,2;61,77
11,3;61,61
11,4;61,45
11,5;61,30
11,6;61,14
11,7;60,99
11,8;60,83
11,9;60,67
12;60,52
12,1;60,36
12,2;60,20
12,3;60,04
12,4;59,89
12,5;59,74
12,6;59,58
12,7;59,42
12,8;59,26
12,9;59,11
13;58,95
13,1;58,80
13,2;58,64
13,3;58,48
13,4;58,33
13,5;58,17
