qm;price
0,1;362,02
0,2;198,04
0,3;151,37
0,4;134,97
0,5;126,78
0,6;126,52
0,7;129,42
0,8;133,71
0,9;140,65
1;148,39
1,1;140,52
1,2;134,34
1,3;128,54
1,4;124,00
1,5;120,15
1,6;116,68
1,7;114,03
1,8;111,00
1,9;109,49
2;107,60
2,1;106,08
2,2;104,63
2,3;103,31
2,4;102,17
2,5;101,17
2,6;100,29
2,7;99,14
2,8;98,64
2,9;97,88
3;97,26
3,1;96,50
3,2;95,87
3,3;95,48
3,4;94,99
3,5;94,35
3,6;93,73
3,7;93,09
3,8;92,46
3,9;91,83
4;91,20
4,1;90,57
4,2;91,57
4,3;91,20
4,4;90,88
4,5;90,57
4,6;90,25
4,7;89,94
4,8;89,62
4,9;89,31
5;88,99
5,1;88,68
5,2;88,36
5,3;88,04
5,4;87,73
5,5;87,42
5,6;87,10
5,7;86,78
5,8;86,46
5,9;86,16
6;85,84
6,1;85,52
6,2;85,20
6,3;84,90
6,4;84,58
6,5;84,26
6,6;83,94
6,7;83,63
6,8;83,32
6,9;83,00
7;82,68
7,1;82,50
7,2;82,31
7,3;82,12
7,4;81,93
7,5;81,74
7,6;81,55
7,7;81,37
7,8;81,17
7,9;80,98
8;80,79
8,1;80,60
8,2;80,41
8,3;80,22
8,4;80,04
8,5;79,85
8,6;79,66
8,7;79,47
8,8;79,28
8,9;79,09
9;78,90
9,1;78,72
9,2;78,52
9,3;78,33
9,4;78,14
9,5;77,95
9,6;77,76
9,7;77,58
9,8;77,39
9,9;77,20
10;77,01
10,1;76,82
10,2;76,63
10,3;76,44
10,4;76,26
10,5;76,07
10,6;75,87
10,7;75,68
10,8;75,49
10,9;75,30
11;75,11
11,1;74,93
11,2;74,74
11,3;74,55
11,4;74,36
11,5;74,17
11,6;73,98
11,7;73,80
11,8;73,61
11,9;73,42
12;73,22
12,1;73,03
12,2;72,84
12,3;72,65
12,4;72,47
12,5;72,28
12,6;72,09
12,7;71,90
12,8;71,71
12,9;71,52
13;71,33
13,1;71,15
13,2;70,96
13,3;70,77
13,4;70,57
13,5;70,38
