2024-01-24 5:54:06 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-24 5:54:09 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1382
2024-01-24 5:54:09 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1382
2024-01-24 5:54:09 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1251
2024-01-24 5:54:09 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-24 5:54:40 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-24 5:54:40 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1382
2024-01-24 5:54:40 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1382
2024-01-24 5:54:40 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1251
2024-01-24 5:54:40 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-24 5:58:34 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-24 5:58:40 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-24 5:59:16 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-24 5:59:23 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-24 6:00:04 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-24 9:07:26 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-24 12:08:09 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-24 12:08:15 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-24 12:08:18 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-24 12:08:58 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-25 2:27:44 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-25 2:27:50 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 2:27:52 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1383
2024-01-25 2:27:52 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1383
2024-01-25 2:27:52 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1252
2024-01-25 2:27:52 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 2:27:57 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-25 2:28:02 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 2:28:02 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1383
2024-01-25 2:28:02 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1383
2024-01-25 2:28:02 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1252
2024-01-25 2:28:02 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 2:28:21 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 2:28:21 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1383
2024-01-25 2:28:21 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1383
2024-01-25 2:28:21 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1252
2024-01-25 2:28:21 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 2:34:11 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 2:34:11 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1383
2024-01-25 2:34:11 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1383
2024-01-25 2:34:11 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1252
2024-01-25 3:25:55 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 3:25:55 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1384
2024-01-25 3:25:55 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1384
2024-01-25 3:25:55 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1252
2024-01-25 3:34:46 - PHP Notice:  Undefined index: type_product in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\common\footer.php on line 205
2024-01-25 3:34:46 - PHP Notice:  Undefined variable: track in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\view\theme\tt_wenro11\template\common\footer.tpl on line 155
2024-01-25 3:34:46 - PHP Notice:  Undefined index: route in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\common\header.php on line 121
2024-01-25 3:34:46 - PHP Notice:  Use of undefined constant category_type - assumed 'category_type' in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\model\catalog\category.php on line 68
2024-01-25 3:34:46 - PHP Notice:  Undefined index: route in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\common\header.php on line 200
2024-01-25 3:34:46 - PHP Notice:  Undefined index: route in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\common\header.php on line 204
2024-01-25 3:34:46 - PHP Notice:  Undefined index: route in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\view\theme\tt_wenro11\template\common\header.tpl on line 18
2024-01-25 3:34:46 - PHP Notice:  Undefined variable: canonical_product in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\view\theme\tt_wenro11\template\common\header.tpl on line 33
2024-01-25 3:34:46 - PHP Notice:  Undefined index: route in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\view\theme\tt_wenro11\template\common\header.tpl on line 109
2024-01-25 3:34:46 - PHP Notice:  Undefined variable: use_ajax_login in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\view\theme\tt_wenro11\template\common\header.tpl on line 172
2024-01-25 3:34:46 - PHP Notice:  Undefined variable: use_ajax_login in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\view\theme\tt_wenro11\template\common\header.tpl on line 215
